Name of State / UT,S. No.,Active Cases,Cured,Deaths,Total Confirmed Cases
Andaman and Nicobar Islands,1,70.0,93.0,0.0,163.0
Andhra Pradesh,2,12533.0,14393.0,309.0,27235.0
Arunachal Pradesh,3,214.0,125.0,2.0,341.0
Assam,4,6351.0,9150.0,35.0,15536.0
Bihar,5,4557.0,10685.0,131.0,15373.0
Chandigarh,6,135.0,413.0,7.0,555.0
Chhattisgarh,7,810.0,3070.0,17.0,3897.0
Dadra and Nagar Haveli and Daman and Diu,8,245.0,226.0,0.0,471.0
Delhi,9,19895.0,87692.0,3334.0,110921.0
Goa,10,928.0,1428.0,12.0,2368.0
Gujarat,11,10260.0,28649.0,2032.0,40941.0
Haryana,12,4891.0,15394.0,297.0,20582.0
Himachal Pradesh,13,263.0,908.0,11.0,1182.0
Jammu and Kashmir,14,4092.0,5895.0,169.0,10156.0
Jharkhand,15,1347.0,2243.0,23.0,3613.0
Karnataka,16,20887.0,14716.0,613.0,36216.0
Kerala,17,3446.0,3963.0,29.0,7438.0
Ladakh,18,148.0,928.0,1.0,1077.0
Madhya Pradesh,19,3878.0,12679.0,644.0,17201.0
Maharashtra,20,99499.0,136985.0,10116.0,246600.0
Manipur,21,750.0,843.0,0.0,1593.0
Meghalaya,22,139.0,66.0,2.0,207.0
Mizoram,23,77.0,150.0,0.0,227.0
Nagaland,24,435.0,313.0,0.0,748.0
Odisha,25,4105.0,8360.0,61.0,12526.0
Puducherry,26,629.0,690.0,18.0,1337.0
Punjab,27,2352.0,5040.0,195.0,7587.0
Rajasthan,28,5376.0,17869.0,503.0,23748.0
Sikkim,29,71.0,80.0,0.0,151.0
Tamil Nadu,30,46413.0,85915.0,1898.0,134226.0
Telangana,31,12135.0,20919.0,348.0,33402.0
Tripura,32,572.0,1375.0,2.0,1949.0
Uttarakhand,33,653.0,2718.0,46.0,3417.0
Uttar Pradesh,34,11490.0,22689.0,913.0,35092.0
West Bengal,35,9588.0,17959.0,906.0,28453.0
Cases being reassigned to states,0,3024.0,0.0,0.0,3024.0
